support,itemsets
0.285,"frozenset({'income_(4956.0, 24386.0]', 'save_act_YES'})"
0.205,"frozenset({'income_(4956.0, 24386.0]', 'car_YES'})"
0.24833333333333332,"frozenset({'sex_MALE', 'income_(4956.0, 24386.0]'})"
0.23833333333333334,"frozenset({'current_act_YES', 'children_(-0.0, 1.0]', 'income_(4956.0, 24386.0]'})"
0.22166666666666668,"frozenset({'married_YES', 'children_(-0.0, 1.0]', 'income_(4956.0, 24386.0]'})"
0.20166666666666666,"frozenset({'mortgage_NO', 'children_(-0.0, 1.0]', 'income_(4956.0, 24386.0]'})"
0.23833333333333334,"frozenset({'mortgage_NO', 'current_act_YES', 'income_(4956.0, 24386.0]'})"
0.22166666666666668,"frozenset({'married_YES', 'income_(4956.0, 24386.0]', 'mortgage_NO'})"
0.20333333333333334,"frozenset({'car_NO', 'current_act_YES', 'income_(4956.0, 24386.0]'})"
0.24,"frozenset({'married_YES', 'current_act_YES', 'income_(4956.0, 24386.0]'})"
0.22,"frozenset({'current_act_YES', 'income_(4956.0, 24386.0]', 'pep_NO'})"
0.21333333333333335,"frozenset({'married_YES', 'income_(4956.0, 24386.0]', 'pep_NO'})"
0.22,"frozenset({'current_act_YES', 'income_(4956.0, 24386.0]', 'save_act_YES'})"
0.3433333333333333,"frozenset({'pep_YES', 'children_(-0.0, 1.0]'})"
0.30333333333333334,"frozenset({'mortgage_NO', 'pep_YES'})"
0.22666666666666666,"frozenset({'car_NO', 'pep_YES'})"
0.21666666666666667,"frozenset({'pep_YES', 'sex_FEMALE'})"
0.3516666666666667,"frozenset({'pep_YES', 'current_act_YES'})"
0.29833333333333334,"frozenset({'pep_YES', 'save_act_YES'})"
0.25666666666666665,"frozenset({'married_YES', 'pep_YES'})"
0.24,"frozenset({'pep_YES', 'sex_MALE'})"
0.23,"frozenset({'pep_YES', 'car_YES'})"
0.26,"frozenset({'pep_YES', 'children_(-0.0, 1.0]', 'current_act_YES'})"
