protein,casein,scc,conc_fed
3.31,2.53,62,0
3.82,2.99,31,0
3.52,2.76,337,0
3.67,2.78,130,0
3.34,2.54,55,0
3.94,3.11,126,0
3.76,2.9,12,0
2.61,1.92,12,0
3.95,3.15,286,0
3.62,2.76,435,2.5
3.53,2.8,140,0
3.39,2.54,2082,0
3.61,2.76,23,0
3.5,2.68,799,0
3.83,2.99,72,0
3.4,2.59,24,0
3.86,3.04,20,0
3.69,2.87,23,0
3.31,2.53,102,0
3.87,2.99,124,0
4.14,3.17,92,0
3.38,2.58,26,0
3.01,2.35,12,0
3.43,2.55,37,0
3.17,2.42,53,0
3.07,2.32,11,0
3.31,2.57,50,0
3.62,2.81,44,0
3.76,2.86,3199,0
3.91,2.99,77,0
3.87,3.08,147,0
2.11,1.2,7,0
3.5,2.69,57,0
3.86,3,195,0
3.03,2.39,7,0
3.04,2.3,21,0
4.26,3.3,540,0
3.3,2.57,18,2.5
3.24,2.49,75,0
3.55,2.74,55,0
3.7,2.82,10,0
3.38,2.56,27,0
3.43,2.62,174,0
3.28,2.47,78,0
3.51,2.74,54,0
3.79,3.01,15,0
3.56,2.78,45,0
3.31,2.51,28,0
3.3,2.57,47,0
3.47,2.69,16,0
3.21,2.44,16,0
3.49,2.62,1386,0
3.37,2.64,46,0
3.53,2.74,128,0
3.48,2.74,184,0
3.36,2.56,363,0
3.52,2.68,83,0
3.19,2.44,12,2.5
3.4,2.59,183,0
3.98,3.04,30,2.5
3.76,2.89,22,0
3.94,3.09,216,0
3.4,2.62,16,0
4.3,3.26,423,0
3.5,2.68,11,0
3.2,2.41,8,0
3.29,2.62,85,0
3.6,2.77,436,0
3.82,2.99,13,0
3.42,2.71,13,0
3.4,2.65,17,0
3.69,2.88,15,0
3.4,2.58,29,0
3.54,2.8,26,0
3.79,2.9,72,0
4.06,3.15,15,0
3.59,2.82,35,0
3.41,2.6,16,0
4.14,3.2,15,0
4.01,3.17,21,0
3.9,2.99,210,0
3.45,2.64,88,0
4.14,3.22,35,0
3.83,2.97,112,0
3.9,3.03,68,0
3.62,2.8,109,0
4.03,3.22,21,0
3.7,2.85,173,0
3.56,2.75,520,0
3.52,2.82,23,0
3.32,2.51,64,0
4.22,3.41,191,0
3.21,2.46,909,0
4.12,3.18,142,0
3.5,2.64,21,0
3.85,3.04,9,0
3.83,3.01,21,0
3.23,2.48,272,0
3.62,2.84,19,2.5
3.51,2.67,402,0
3.86,2.97,1848,0
3.15,2.45,139,0
3.46,2.68,26,0
3.51,2.71,87,0
3.45,2.61,6,0
3.81,2.99,12,0
3.44,2.71,54,0
3.79,2.92,30,0
3.3,2.52,865,0
4.2,3.28,17,0
3.68,2.86,15,0
3.53,2.68,82,0
3.69,2.81,21,0
3.85,2.96,25,0
3.92,3.08,16,0
4.13,3.27,12,0
3.45,2.76,22,0
3.47,2.65,51,0
3.85,3.04,615,0
3.63,2.86,204,0
4.08,3.19,15,2.5
3.82,2.96,17,2.5
3.5,2.68,28,2.5
3.95,3.05,132,2.5
3.48,2.65,272,0
3.66,2.89,22,0
4.02,3.08,101,0
4.09,3.18,1641,0
4.39,3.44,99,2.5
3.65,2.87,31,2.5
3.68,2.82,75,0
3.87,3.02,637,2.5
3.31,2.53,429,2.5
3.1,2.4,12,2.5
3.84,2.98,16,0
3.87,3,35,2.5
3.7,2.92,28,2.5
3.43,2.71,37,2.5
3.59,2.85,23,0
3.75,2.91,535,0
3.25,2.52,12,0
3.83,3.03,240,0
3.89,3.07,24,0
3.75,2.96,20,0
3.71,2.92,16,0
3.84,3.01,57,0
3.52,2.69,159,2.5
